epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,289.95,2.18096,2.10397,0.00292,0.69059,0.54567,0.58024,0.30971,1.85758,1.36777,0.00288,0.000666243,0.000666243,0.000666243
2,568.112,2.13141,1.5769,0.00273,0.71196,0.57658,0.61758,0.34122,1.83202,1.28215,0.00283,0.00126693,0.00126693,0.00126693
3,839.458,2.10884,1.49593,0.00265,0.74249,0.59564,0.64312,0.36086,1.79049,1.21696,0.00273,0.00180162,0.00180162,0.00180162
4,1109.91,2.07501,1.43489,0.00258,0.75316,0.6232,0.66648,0.37066,1.77169,1.15543,0.00267,0.001703,0.001703,0.001703
5,1386.99,2.05185,1.39716,0.00253,0.76811,0.62303,0.67595,0.38166,1.76182,1.13623,0.00264,0.001604,0.001604,0.001604
6,1673.03,2.03732,1.37806,0.0025,0.77592,0.62924,0.68211,0.3885,1.73036,1.12467,0.00258,0.001505,0.001505,0.001505
7,1952.06,2.01107,1.3479,0.00245,0.78049,0.64041,0.69505,0.39849,1.70599,1.09304,0.00252,0.001406,0.001406,0.001406
8,2228.93,1.99294,1.32427,0.00242,0.78486,0.64363,0.69789,0.4045,1.69359,1.07904,0.00251,0.001307,0.001307,0.001307
9,2507.7,1.97826,1.30594,0.00238,0.78323,0.6522,0.70671,0.41409,1.65993,1.06945,0.00244,0.001208,0.001208,0.001208
10,2786.64,1.96192,1.28577,0.00236,0.78818,0.65636,0.71169,0.4194,1.65051,1.05231,0.00242,0.001109,0.001109,0.001109
11,3096.67,1.88524,1.27041,0.00248,0.78582,0.653,0.70585,0.41169,1.66416,1.07124,0.00245,0.00101,0.00101,0.00101
12,3352.66,1.86801,1.25177,0.00244,0.79339,0.65859,0.71549,0.4258,1.63984,1.05052,0.00239,0.000911,0.000911,0.000911
13,3611.48,1.85443,1.23074,0.00241,0.79659,0.66393,0.7194,0.42829,1.63793,1.04004,0.00238,0.000812,0.000812,0.000812
14,3868.7,1.83883,1.21205,0.00238,0.80267,0.66576,0.7255,0.43503,1.62002,1.02749,0.00234,0.000713,0.000713,0.000713
15,4114.49,1.82789,1.20398,0.00234,0.80189,0.6691,0.72745,0.43874,1.61025,1.02392,0.00232,0.000614,0.000614,0.000614
16,4346.71,1.81866,1.1891,0.00232,0.80092,0.67047,0.72904,0.43987,1.60648,1.01849,0.00231,0.000515,0.000515,0.000515
17,4580,1.80696,1.17782,0.0023,0.80657,0.67674,0.73404,0.44442,1.597,1.00281,0.00229,0.000416,0.000416,0.000416
18,4812.41,1.78857,1.16766,0.00227,0.8065,0.67584,0.73506,0.44526,1.5934,0.99873,0.00228,0.000317,0.000317,0.000317
19,5044.86,1.78496,1.15929,0.00225,0.80686,0.67797,0.73687,0.44809,1.58853,0.99596,0.00227,0.000218,0.000218,0.000218
20,5276.55,1.77543,1.15188,0.00224,0.80665,0.67925,0.73796,0.4482,1.58413,0.99509,0.00226,0.000119,0.000119,0.000119
