epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,505.523,2.70793,2.82754,0.00449,0.59785,0.45304,0.46743,0.22773,2.09349,1.74244,0.00346,0.000666455,0.000666455,0.000666455
2,944.727,2.34205,2.0514,0.00326,0.65741,0.50638,0.53582,0.2644,2.02061,1.60267,0.00325,0.00130013,0.00130013,0.00130013
3,1374.72,2.27891,1.91533,0.00309,0.67541,0.53309,0.56468,0.29331,1.96359,1.5073,0.00306,0.0019008,0.0019008,0.0019008
4,1803.13,2.23166,1.85205,0.00299,0.68848,0.54015,0.57914,0.30901,1.93493,1.47917,0.00297,0.0018515,0.0018515,0.0018515
5,2231.14,2.19753,1.80699,0.00294,0.71001,0.5484,0.5965,0.32167,1.87978,1.43535,0.00289,0.001802,0.001802,0.001802
6,2660.9,2.16468,1.76418,0.00284,0.72301,0.56145,0.61168,0.32932,1.86877,1.40826,0.00285,0.0017525,0.0017525,0.0017525
7,3095.51,2.15097,1.74145,0.00278,0.73049,0.57792,0.62802,0.34541,1.8316,1.36223,0.00278,0.001703,0.001703,0.001703
8,3524.18,2.12148,1.69867,0.00274,0.7364,0.5863,0.63793,0.35139,1.80599,1.34583,0.00273,0.0016535,0.0016535,0.0016535
9,3952.52,2.10879,1.68613,0.00271,0.74445,0.57664,0.63318,0.35195,1.80324,1.35167,0.0027,0.001604,0.001604,0.001604
10,4381.76,2.08344,1.67274,0.00268,0.75061,0.59328,0.65157,0.36389,1.783,1.31832,0.00267,0.0015545,0.0015545,0.0015545
11,4810.41,2.07183,1.6515,0.00264,0.7553,0.60028,0.65752,0.37049,1.76559,1.3017,0.00263,0.001505,0.001505,0.001505
12,5237.62,2.05498,1.63394,0.00263,0.75538,0.60168,0.65812,0.37081,1.7631,1.29047,0.00263,0.0014555,0.0014555,0.0014555
13,5666.5,2.03963,1.61515,0.00258,0.75729,0.60598,0.6664,0.37729,1.74507,1.27618,0.00259,0.001406,0.001406,0.001406
14,6097.53,2.03475,1.60677,0.00256,0.76018,0.60398,0.66166,0.37696,1.73785,1.28397,0.00257,0.0013565,0.0013565,0.0013565
15,6526.14,2.02909,1.59988,0.00254,0.76224,0.60957,0.66783,0.38146,1.73571,1.26644,0.00256,0.001307,0.001307,0.001307
16,6957.22,2.01637,1.58524,0.00253,0.76429,0.61878,0.67596,0.38874,1.71685,1.24738,0.00253,0.0012575,0.0012575,0.0012575
17,7385.17,2.02156,1.58434,0.00251,0.76997,0.6182,0.67837,0.38987,1.71093,1.24291,0.00252,0.001208,0.001208,0.001208
18,7818.55,1.99479,1.57207,0.00249,0.76851,0.61941,0.67975,0.39197,1.69589,1.24426,0.0025,0.0011585,0.0011585,0.0011585
19,8262.29,1.99133,1.56185,0.00247,0.7716,0.62039,0.68247,0.39371,1.69956,1.23295,0.00249,0.001109,0.001109,0.001109
20,8693.31,1.98743,1.55166,0.00245,0.7741,0.62447,0.68655,0.39736,1.69071,1.22649,0.00247,0.0010595,0.0010595,0.0010595
21,9141.13,1.98012,1.54474,0.00244,0.77458,0.62285,0.68644,0.3997,1.68214,1.22333,0.00245,0.00101,0.00101,0.00101
22,9604.71,1.96903,1.5333,0.00242,0.7775,0.62666,0.69003,0.40149,1.68149,1.21809,0.00245,0.0009605,0.0009605,0.0009605
23,10068.9,1.95956,1.5269,0.00241,0.7746,0.62781,0.68995,0.40321,1.67639,1.2158,0.00243,0.000911,0.000911,0.000911
24,10516.7,1.96326,1.53606,0.00242,0.77894,0.62966,0.6925,0.40399,1.67598,1.21252,0.00243,0.0008615,0.0008615,0.0008615
25,10947,1.95129,1.5182,0.00239,0.77856,0.6323,0.69476,0.40707,1.66771,1.20386,0.00242,0.000812,0.000812,0.000812
26,11375.8,1.94574,1.51495,0.0024,0.77652,0.63303,0.69471,0.40782,1.66495,1.20442,0.00241,0.0007625,0.0007625,0.0007625
27,11805,1.93884,1.50771,0.00238,0.78139,0.63443,0.69846,0.41022,1.65631,1.19846,0.0024,0.000713,0.000713,0.000713
28,12234.9,1.9356,1.50039,0.00237,0.7805,0.63498,0.69925,0.41121,1.65616,1.19383,0.00239,0.0006635,0.0006635,0.0006635
29,12663,1.9325,1.4944,0.00236,0.78472,0.63741,0.70176,0.41357,1.65143,1.18854,0.00239,0.000614,0.000614,0.000614
30,13090.8,1.92949,1.48812,0.00235,0.78327,0.63903,0.70295,0.41476,1.64892,1.18219,0.00238,0.0005645,0.0005645,0.0005645
31,13542.8,1.87958,1.4743,0.00244,0.78243,0.63691,0.70069,0.41291,1.65753,1.18996,0.00239,0.000515,0.000515,0.000515
32,13939.2,1.86728,1.46282,0.00243,0.78393,0.63641,0.70039,0.41291,1.65531,1.19286,0.00238,0.0004655,0.0004655,0.0004655
33,14345.9,1.86321,1.45568,0.00241,0.78172,0.6385,0.70223,0.41493,1.65027,1.18958,0.00238,0.000416,0.000416,0.000416
34,14772.8,1.85421,1.44565,0.00239,0.7835,0.63994,0.70308,0.41555,1.64896,1.18669,0.00237,0.0003665,0.0003665,0.0003665
35,15205.9,1.85775,1.44759,0.00238,0.78148,0.64,0.70313,0.41619,1.64767,1.18779,0.00237,0.000317,0.000317,0.000317
36,15637.8,1.83878,1.43418,0.00236,0.78502,0.63937,0.70395,0.41666,1.64518,1.18685,0.00236,0.0002675,0.0002675,0.0002675
37,16046.7,1.84103,1.42965,0.00236,0.78646,0.64079,0.70512,0.41777,1.64217,1.1848,0.00236,0.000218,0.000218,0.000218
