epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.458,2.06678,1.92838,0.00342,0.64212,0.52607,0.53078,0.27684,1.54864,19.592,0.00256,0.00066576,0.00066576,0.00066576
2,241.591,1.99165,1.42322,0.00312,0.67311,0.56244,0.5757,0.30816,1.53397,24.2548,0.0025,0.00126647,0.00126647,0.00126647
3,358.145,1.97245,1.31882,0.003,0.70216,0.57993,0.60497,0.32731,1.52446,19.1897,0.00245,0.00180118,0.00180118,0.00180118
4,469.9,1.93361,1.25384,0.00297,0.73896,0.59842,0.63494,0.35501,1.46033,18.2672,0.0023,0.001703,0.001703,0.001703
5,581.389,1.91384,1.21487,0.00288,0.74238,0.60883,0.64374,0.36102,1.44156,19.9484,0.00227,0.001604,0.001604,0.001604
6,687.322,1.88946,1.18253,0.00283,0.73357,0.6187,0.6469,0.36478,1.42965,29.104,0.00224,0.001505,0.001505,0.001505
7,791.449,1.88055,1.17134,0.00279,0.74477,0.61988,0.6585,0.37994,1.42718,15.14,0.00223,0.001406,0.001406,0.001406
8,895.705,1.85652,1.14119,0.00275,0.7739,0.63356,0.67417,0.38426,1.4209,13.7673,0.00222,0.001307,0.001307,0.001307
9,1007.82,1.84919,1.12468,0.0027,0.74924,0.62985,0.66492,0.38332,1.41469,22.1666,0.00219,0.001208,0.001208,0.001208
10,1124.29,1.82872,1.12839,0.00271,0.77007,0.64661,0.68589,0.40067,1.38684,12.333,0.00213,0.001109,0.001109,0.001109
11,1274.35,1.74189,1.07555,0.00278,0.7567,0.64495,0.68257,0.397,1.39867,15.0176,0.00214,0.00101,0.00101,0.00101
12,1383.22,1.73234,1.06241,0.00273,0.75965,0.64204,0.68137,0.39875,1.38125,26.7569,0.00211,0.000911,0.000911,0.000911
13,1493.42,1.71992,1.04508,0.0027,0.78167,0.64958,0.69256,0.40706,1.37556,18.9679,0.0021,0.000812,0.000812,0.000812
14,1604.12,1.70499,1.03356,0.00267,0.78212,0.66236,0.70453,0.41502,1.36623,11.2973,0.00207,0.000713,0.000713,0.000713
15,1714.32,1.69514,1.02518,0.00265,0.77463,0.65245,0.69378,0.40935,1.3606,26.5172,0.00206,0.000614,0.000614,0.000614
16,1824.54,1.67708,1.01631,0.00262,0.78224,0.65921,0.70272,0.41714,1.35082,15.8321,0.00204,0.000515,0.000515,0.000515
17,1935.08,1.67163,1.0099,0.0026,0.78588,0.65963,0.70378,0.41928,1.34998,17.3195,0.00203,0.000416,0.000416,0.000416
18,2045.36,1.65876,1.00411,0.00258,0.78592,0.6615,0.70757,0.42296,1.33954,16.7877,0.002,0.000317,0.000317,0.000317
19,2154.78,1.65398,1.00015,0.00255,0.78523,0.6634,0.70857,0.42557,1.33234,18.3255,0.00199,0.000218,0.000218,0.000218
20,2262.99,1.64369,0.99157,0.00254,0.78444,0.66309,0.70902,0.4262,1.3284,17.687,0.00198,0.000119,0.000119,0.000119
