epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,282.666,3.64956,3.1771,0.0042,0.62639,0.53089,0.53963,0.27855,2.33309,1.56683,0.00319,0.000399787,0.000399787,0.000399787
2,534.091,3.0103,2.0242,0.00266,0.68457,0.56923,0.59908,0.32198,2.21955,1.38684,0.00295,0.000779993,0.000779993,0.000779993
3,782.064,2.9556,1.83083,0.00255,0.70956,0.57569,0.61579,0.33153,2.24172,1.34397,0.00294,0.0011404,0.0011404,0.0011404
4,1027.83,2.88602,1.75772,0.00247,0.72531,0.59179,0.63709,0.34489,2.20489,1.31583,0.00286,0.001481,0.001481,0.001481
5,1272.87,2.87432,1.73677,0.00242,0.72476,0.60009,0.64229,0.35556,2.16807,1.28005,0.00279,0.00180181,0.00180181,0.00180181
6,1515.95,2.85285,1.72418,0.00239,0.74748,0.60149,0.65299,0.36427,2.14489,1.26407,0.00275,0.0017525,0.0017525,0.0017525
7,1759.44,2.83792,1.7129,0.00237,0.73642,0.61218,0.65715,0.35958,2.17906,1.2707,0.0028,0.001703,0.001703,0.001703
8,2008.24,2.80959,1.69669,0.00235,0.74998,0.6085,0.66125,0.37006,2.12501,1.25299,0.00269,0.0016535,0.0016535,0.0016535
9,2252.61,2.81437,1.69028,0.0023,0.74771,0.61698,0.66379,0.36944,2.13165,1.24298,0.00271,0.001604,0.001604,0.001604
10,2496.82,2.79245,1.69609,0.00228,0.75237,0.612,0.66439,0.37643,2.10942,1.25327,0.00269,0.0015545,0.0015545,0.0015545
11,2740.73,2.78932,1.68459,0.00226,0.74927,0.61288,0.66336,0.37149,2.13525,1.25183,0.00271,0.001505,0.001505,0.001505
12,2985.23,2.77905,1.6891,0.00226,0.76155,0.6214,0.67468,0.3825,2.0938,1.23386,0.00263,0.0014555,0.0014555,0.0014555
13,3230.5,2.77229,1.6712,0.00222,0.76207,0.61799,0.67486,0.38533,2.07607,1.24022,0.0026,0.001406,0.001406,0.001406
14,3477.34,2.76909,1.68097,0.00222,0.77123,0.6209,0.67845,0.38519,2.09443,1.22274,0.00264,0.0013565,0.0013565,0.0013565
15,3724.08,2.76037,1.68507,0.00222,0.77371,0.62062,0.68035,0.38554,2.07779,1.22732,0.00261,0.001307,0.001307,0.001307
16,3967.8,2.74514,1.66508,0.00222,0.76772,0.62382,0.67797,0.38544,2.07813,1.21854,0.0026,0.0012575,0.0012575,0.0012575
17,4212.77,2.73535,1.6716,0.0022,0.76867,0.62221,0.68041,0.38849,2.07332,1.22445,0.0026,0.001208,0.001208,0.001208
18,4456.38,2.72753,1.65336,0.00218,0.77475,0.6252,0.68657,0.39595,2.05148,1.20843,0.00255,0.0011585,0.0011585,0.0011585
19,4701.94,2.7376,1.66855,0.00218,0.7733,0.62892,0.68739,0.39448,2.05813,1.2075,0.00255,0.001109,0.001109,0.001109
20,4947.75,2.70808,1.64611,0.00217,0.77395,0.62455,0.68437,0.39401,2.05304,1.22125,0.00256,0.0010595,0.0010595,0.0010595
21,5191.9,2.71315,1.65265,0.00215,0.77625,0.62936,0.68968,0.39737,2.04767,1.2143,0.00254,0.00101,0.00101,0.00101
22,5446.98,2.69738,1.64821,0.00216,0.77973,0.62686,0.68871,0.39882,2.0432,1.20229,0.00252,0.0009605,0.0009605,0.0009605
23,5693.3,2.71451,1.64888,0.00215,0.77612,0.6312,0.69199,0.40092,2.04522,1.19583,0.00253,0.000911,0.000911,0.000911
24,5936.9,2.70939,1.65044,0.00213,0.78201,0.62855,0.69113,0.39963,2.04101,1.20603,0.00251,0.0008615,0.0008615,0.0008615
25,6181.25,2.69885,1.64578,0.00213,0.78195,0.62814,0.6906,0.40035,2.03581,1.20445,0.00251,0.000812,0.000812,0.000812
26,6425.14,2.70103,1.64852,0.00212,0.77894,0.6297,0.69002,0.39782,2.04257,1.20268,0.00252,0.0007625,0.0007625,0.0007625
27,6667.49,2.69052,1.63584,0.00213,0.78152,0.63342,0.69211,0.40072,2.03548,1.1965,0.00251,0.000713,0.000713,0.000713
28,6912.42,2.68259,1.64086,0.0021,0.78319,0.63157,0.69373,0.40345,2.02707,1.20267,0.00249,0.0006635,0.0006635,0.0006635
